"";"N_size";"n_groups";"n_size";"n_density";"n_to_N_density";"N_density";"inhibition_level";"r_default";"r_active";"number_of_iterations";"threshold_level";"time_bins";"to_A";"to_B";"n_A";"n_B";"over_time_A";"over_time_B";"event_starts";"event_ends";"bound_th";"time_th";"poolA_th";"poolB_th";"dec_th"
"672";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;4,05882352941176;3,56617647058824;1000;3000;52,763757378363;1547,38244510108;52,763757378363;16,5533356481139;1
"673";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,91911764705882;3,57352941176471;1000;3000;53,1688049953724;1823,03895185077;53,1688049953724;26,7537299021301;1
"674";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,83088235294118;3,47794117647059;1000;3000;53,1593577492139;1644,26271028166;53,1593577492139;12,9490743235265;1
"675";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,68382352941176;3,33823529411765;1000;3000;52,8111733794166;1780,12025935487;52,8111733794166;12,6602127964355;1
"676";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,95588235294118;3,72058823529412;1000;3000;52,7829989532897;1555,64966038206;26,9451672978332;52,7829989532897;-1
"677";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,78676470588235;3,625;1000;3000;52,694295661157;1730,89663333217;27,7158308347644;52,694295661157;-1
"678";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,99264705882353;3,52941176470588;1000;3000;52,533184298838;1881,41864818472;25,0648526393149;52,533184298838;-1
"679";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,93382352941176;3,72058823529412;1000;3000;53,6455468692083;1595,881733202;18,5696123778029;53,6455468692083;-1
"680";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,74264705882353;3,47794117647059;1000;3000;53,4307256540115;1489,0182917266;24,1300051340697;53,4307256540115;-1
"681";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,86764705882353;3,63235294117647;1000;3000;53,3926163652216;1465,0977527052;9,79991059867991;53,3926163652216;-1
"682";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,80147058823529;3,55882352941176;1000;3000;52,9832581348387;1403,01145845952;52,9832581348387;13,4178380990825;1
"683";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,93382352941176;3,81617647058824;1000;3000;53,2441410456941;1928,41181725781;53,2441410456941;19,7072470104192;1
"684";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,86029411764706;3,52941176470588;1000;3000;52,7454811594312;1958,41945374612;52,7454811594312;30,0404727133184;1
"685";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;4;3,27205882352941;1000;3000;54,056141678401;2536,5560369723;18,8021362359656;54,056141678401;-1
